"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","pdays_status","pdays_clean","age_group","balance_group","cluster","gmm_cluster"
49,"entrepreneur","married","primary","no",-63,"yes","no","unknown",14,"may",416,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","Negative","5","2"
28,"management","single","tertiary","no",637,"yes","no","cellular",4,"feb",324,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
26,"management","single","tertiary","no",1837,"no","no","cellular",3,"feb",417,2,-1,0,"unknown","no","Not Contacted",NA,"Under 30","1K-5K","1","2"
39,"management","single","tertiary","no",30,"yes","no","cellular",13,"may",201,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
49,"admin.","married","secondary","no",512,"yes","yes","unknown",14,"may",455,3,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
27,"technician","married","secondary","no",876,"yes","no","cellular",18,"may",268,1,355,1,"failure","no","Contacted",355,"Under 30","0-1K","1","3"
45,"technician","married","secondary","no",4639,"no","no","unknown",6,"jun",82,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
41,"technician","married","secondary","no",0,"no","no","cellular",11,"mar",101,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
40,"admin.","single","secondary","no",-186,"yes","yes","cellular",11,"jul",154,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","Negative","1","2"
51,"blue-collar","married","primary","no",201,"yes","no","cellular",17,"jul",582,2,-1,0,"unknown","yes","Not Contacted",NA,"50-60","0-1K","5","2"
40,"technician","married","secondary","no",372,"yes","no","cellular",21,"nov",365,1,100,2,"failure","no","Contacted",100,"40-50","0-1K","1","3"
32,"blue-collar","single","tertiary","no",700,"no","no","unknown",13,"nov",90,1,-1,0,"unknown","yes","Not Contacted",NA,"30-40","0-1K","1","2"
42,"technician","married","secondary","no",769,"no","no","unknown",5,"jun",90,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
33,"admin.","single","secondary","no",894,"no","no","cellular",5,"feb",509,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
36,"admin.","married","secondary","no",-206,"yes","no","cellular",2,"feb",122,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","1","2"
30,"management","single","secondary","no",308,"yes","yes","unknown",2,"jun",175,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
28,"technician","single","secondary","no",441,"no","yes","cellular",9,"jul",171,2,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
41,"blue-collar","married","secondary","no",2152,"yes","no","cellular",17,"nov",369,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","1","2"
58,"management","divorced","tertiary","no",-71,"no","no","unknown",27,"may",114,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","Negative","5","2"
46,"technician","married","secondary","no",0,"no","no","cellular",30,"jul",77,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
42,"management","married","tertiary","no",11093,"no","no","cellular",2,"feb",156,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","10K+","5","3"
39,"technician","married","secondary","no",-735,"yes","no","cellular",30,"jan",144,5,248,2,"failure","no","Contacted",248,"30-40","Negative","1","3"
38,"technician","married","secondary","no",6728,"no","no","cellular",21,"aug",252,4,-1,0,"unknown","yes","Not Contacted",NA,"30-40","5K-10K","1","1"
44,"services","divorced","secondary","no",2586,"yes","no","unknown",5,"may",160,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
35,"technician","married","secondary","no",0,"no","no","cellular",14,"jul",460,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
38,"management","married","tertiary","no",1187,"yes","yes","cellular",5,"jun",76,2,123,1,"failure","no","Contacted",123,"30-40","1K-5K","1","3"
36,"management","single","tertiary","no",6450,"yes","no","unknown",29,"may",101,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","5K-10K","1","1"
60,"technician","married","secondary","no",0,"no","no","cellular",25,"may",641,4,-1,0,"unknown","yes","Not Contacted",NA,"60+","0-1K","5","2"
46,"services","married","secondary","no",2202,"yes","no","cellular",29,"jan",83,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
